,Factorial,Factorial,Count same chars,Count same chars,Find largest number in list of numbers,Find largest number in list of numbers,Cross sum,Cross sum,Find largest of three number,Find largest of three number,Power,Power,Swap,Swap,Reverse String,Reverse String,Check substring,Check substring,Decimal to binary,Decimal to binary,Reveres Entries in Array,Reveres Entries in Array,Median,Median,Programming experience score
,Comp,Syntax,Comp,Syntax,Comp,Syntax,Comp,Syntax,Comp,Syntax,Comp,Syntax,Comp,Syntax,Comp,Syntax,Comp,Syntax,Comp,Syntax,Comp,Syntax,Comp,Syntax,
Participant 1,324162,300000,316113,116538,199629,300000,255374,184279,170507,89493,142214,148639,166361,151186,206995,300000,600000,300000,299317,300000,600000,103866,308547,300000,"2,336"
Participant 2,192634,262341,421631,44376,550581,300000,208653,57638,243538,232763,247652,300000,180759,205425,291554,233381,500088,289233,242443,68709,600000,87464,502066,122971,"2,05"
Participant 3,342593,300000,600000,295534,236452,273757,297324,13017,281576,223762,435283,286188,157831,131216,337184,202530,336842,153344,233521,300000,518909,145975,292097,123881,"2,777"
Participant 4,395844,300000,376283,184469,236662,300000,515535,247961,100109,257095,158215,299841,94762,300000,181237,300000,269469,115324,600000,300000,600000,120908,600000,100015,"2,491"
Participant 5,290455,300000,362486,195231,276962,35935,305667,5440,276319,247946,193146,198692,182500,265806,205055,300000,523108,300000,277378,300000,600000,252798,342120,300000,"1,609"
Participant 6,210013,256119,209803,244709,194040,300000,207456,183962,160190,216456,79032,174339,101340,152164,197414,270999,325147,250292,151577,300000,350164,117229,316638,176415,"1,609"
Participant 7,141700,147805,244288,178633,178607,207671,261622,263726,111794,300000,158222,268088,127816,91515,270052,46196,191472,300000,308213,279038,541688,200514,392394,191460,"1,609"
Participant 8,203349,300000,388747,145012,221694,300000,325839,281305,223613,257719,348288,300000,146754,200140,169069,300000,487841,300000,243159,300000,551826,300000,600000,250478,"2,05"
Participant 9,383588,300000,391202,276748,600000,300000,600000,300000,176477,150575,380910,154137,241218,250364,399853,300000,333195,300000,416496,300000,600000,237756,590286,150471,"2,05"
Participant 10,171826,240171,354672,105017,168173,300000,600000,193310,386818,178043,277965,300000,102191,223018,311385,235691,265999,300000,175885,300000,522552,176737,297739,139683,"1,609"
Participant 11,600000,300000,600000,236889,600000,300000,600000,150237,600000,174091,600000,98278,600000,110745,600000,300000,600000,300000,600000,300000,600000,300000,600000,300000,"2,336"
Participant 12,165271,300000,233868,144934,92737,300000,141762,85067,107454,136441,141963,300000,97716,140774,94351,205409,130325,203871,139402,300000,372869,90814,297256,201521,"2,777"
Participant 13,358716,300000,459939,300000,302014,300000,169512,104259,247047,76511,316280,300000,156427,147572,185461,300000,352641,125547,138585,73644,600000,93844,478773,205199,"1,895"
Participant 14,297763,300000,438824,154130,182822,254607,428399,283384,222332,161877,275333,300000,195160,257826,202995,142419,452737,204841,341398,300000,502945,85530,546140,274797,"2,05"
Participant 15,175202,203466,436834,31659,215387,300000,55528,43713,144102,114686,202609,161835,98125,95270,185319,205544,309054,176518,275407,300000,388794,91459,484701,93848,"2,05"
Participant 16,194863,300000,231526,245072,257050,289556,287348,300000,197834,229698,142107,178693,123710,300000,212023,300000,219676,300000,168419,300000,263974,299999,266521,300000,"0,727"
