model,target,f1_c (median),f1_cw (median),precision_c (median),precision_cw (median),recall_c (median),recall_cw (median),auc_c (median),auc_cw (median),f1_c (mean),f1_cw (mean),precision_c (mean),precision_cw (mean),recall_c (mean),recall_cw (mean),auc_c (mean),auc_cw (mean)
SVC,ABU50,0.6311300639658849,0.6311300639658849,0.6016260162601627,0.6016260162601627,0.6636771300448431,0.6636771300448431,0.6103754940711463,0.6103754940711463,0.6311300639658849,0.6311300639658849,0.6016260162601627,0.6016260162601627,0.6636771300448431,0.6636771300448431,0.6103754940711463,0.6103754940711463
SVC,BD50,0.1151079136690647,0.1151079136690647,0.1509433962264151,0.1509433962264151,0.0465116279069767,0.0465116279069767,0.4915079365079365,0.4915079365079365,0.1151079136690647,0.1151079136690647,0.1509433962264151,0.1509433962264151,0.0465116279069767,0.0465116279069767,0.4915079365079365,0.4915079365079365
SVC,PBU,0.8125854993160054,0.814207650273224,0.7037914691943128,0.7044917257683215,0.9611650485436892,0.964401294498382,0.514447004608295,0.5192242703533027,0.790121402492751,0.785264009637698,0.7036275353570769,0.7028808718370023,0.9080906148867314,0.8983818770226538,0.5143523573200992,0.5126025050218599
knn_classifier,ABU50,0.5829383886255924,0.5863636363636362,0.5915492957746479,0.5944700460829493,0.5605381165919282,0.5739910313901345,0.5851778656126483,0.5899209486166008,0.5840467806391907,0.5872006962248684,0.6084432259430345,0.6074112453066414,0.5623318385650224,0.568609865470852,0.5970158102766799,0.5980237154150198
knn_classifier,BD50,0.04897959183673465,0.04989878542510115,0.16228070175438591,0.1904761904761904,0.0290697674418604,0.0290697674418604,0.49642857142857133,0.4989186507936507,0.05334133653461383,0.0452125506072874,0.16502192982456135,0.17857142857142852,0.03197674418604645,0.02616279069767435,0.49676587301587294,0.4987450396825397
knn_classifier,PBU,0.7777605649942916,0.7777605649942916,0.710044175773076,0.710044175773076,0.8640776699029127,0.8640776699029127,0.5289406829729411,0.5290780456103037,0.7778917717666016,0.7778917717666016,0.7106591535236036,0.7106591535236036,0.860032362459547,0.860032362459547,0.5290817381543188,0.5291504194730001
logistic_regression,ABU50,0.5833333333333333,0.5950782997762863,0.6060606060606061,0.6024590163934426,0.5650224215246636,0.5964125560538116,0.5943675889328064,0.592490118577075,0.5881088378881095,0.5951752724583662,0.6052788661943925,0.5990753740965854,0.5748878923766816,0.5955156950672645,0.5980632411067194,0.5965019762845849
logistic_regression,BD50,0.0434782608695652,0.064516129032258,0.0,0.0,0.0,0.0,0.498611111111111,0.4951388888888889,0.0434782608695652,0.064516129032258,0.05555555555555555,0.07142857142857141,0.00387596899224805,0.005813953488372083,0.499074074074074,0.4980324074074074
logistic_regression,PBU,0.8151260504201681,0.8156976675663252,0.7185185185185186,0.7194077741107444,0.941747572815534,0.941747572815534,0.5491569183504668,0.550942632636181,0.8151260504201681,0.8156976675663252,0.7185185185185186,0.7194077741107444,0.941747572815534,0.941747572815534,0.5491569183504668,0.550942632636181
randomForest_classifier,ABU50,0.5720930232558139,0.5675057208237986,0.5942028985507246,0.5931372549019608,0.5560538116591929,0.5560538116591929,0.5857707509881422,0.583300395256917,0.5743916152705365,0.5754841048041592,0.5948078725332956,0.5978965244179468,0.5554131966688021,0.5547725816784113,0.5863777526821005,0.5887492941840768
randomForest_classifier,BD50,0.0217391304347826,0.021505376344086,0.13888888888888884,0.0,0.0116279069767441,0.0,0.4965277777777777,0.4944444444444444,0.02599743505921992,0.028605656848994836,0.1222222222222222,0.07202380952380952,0.008720930232558087,0.005813953488372062,0.49765624999999997,0.49591021825396825
randomForest_classifier,PBU,0.8105117565698479,0.8072625698324022,0.7111650485436893,0.7100737100737101,0.9449838187702264,0.9352750809061487,0.5341433297884911,0.5317588325652842,0.8097003544732373,0.8087083576724818,0.7114193316156472,0.7098559810168612,0.9395900755124056,0.9395900755124056,0.5345377919571468,0.5314726850210721
mlp_classifier,ABU50,0.5348837209302325,0.5108695652173914,0.5748987854251012,0.5747663551401869,0.515695067264574,0.5112107623318386,0.5489130434782609,0.5696640316205533,0.3995711693880917,0.5275757328102867,0.5712625581046634,0.5765696279586064,0.39461883408071746,0.4947683109118087,0.544532279314888,0.5564558629776021
mlp_classifier,BD50,0.0222222222222222,0.0217391304347826,0.0,0.1666666666666666,0.0,0.0116279069767441,0.498611111111111,0.4993055555555555,0.0222222222222222,0.0478608549260723,0.08333333333333333,0.21709401709401707,0.003875968992248033,0.027131782945736368,0.4993055555555555,0.5043981481481481
mlp_classifier,PBU,0.803840877914952,0.8065395095367845,0.695852534562212,0.6964705882352941,0.948220064724919,0.9579288025889968,0.4999734136830911,0.5018344558667138,0.7585544334638743,0.7998143286317211,0.6905179246540273,0.6967862479864925,0.8554476806903991,0.9395900755124057,0.4921371460081138,0.5020930324156131
