input feature,output_feature
"['NMI (avg)' 'NMI (max)' 'CICsyn (avg)' 'CICsyn (max)' 'CR' 'NM (max)'
 'Line length (avg)' '#spaces (avg)' 'Identifiers length (max)'
 'Indentation length (max)' '#keywords (max)' 'Line length (max)'
 '#identifiers (max)' '#words (max)' 'Volume' '#assignments (dft)'
 '#commas (dft)' '#comments (dft)' '#comparisons (dft)'
 '#conditionals (dft)' 'Indentation length (dft)' '#keywords (dft)'
 'Line length (dft)' '#loops (dft)' '#identifiers (dft)' '#numbers (dft)'
 '#operators (dft)' '#parenthesis (dft)' '#periods (dft)' '#spaces (dft)'
 'Comments (Visual X)' 'Comments (Visual Y)' 'Identifiers (Visual X)'
 'Keywords (Visual X)' 'Numbers (Visual X)' 'Numbers (Visual Y)'
 'Strings (Visual Y)' 'Literals (Visual X)' 'Literals (Visual Y)'
 'Operators (Visual X)' '#aligned blocks' 'Extent of aligned blocks'
 '#statements']",PBU
"['NMI (max)' 'CICsyn (avg)' 'CICsyn (max)' 'CR' 'NM (avg)' 'NM (max)'
 'Indentation length (avg)' 'Line length (avg)' '#spaces (avg)'
 'Identifiers length (max)' 'Indentation length (max)' 'Line length (max)'
 '#characters (max)' '#words (max)' 'LOC' '#comments (dft)'
 '#comparisons (dft)' '#conditionals (dft)' 'Indentation length (dft)'
 '#keywords (dft)' 'Line length (dft)' '#numbers (dft)' '#operators (dft)'
 '#parenthesis (dft)' '#periods (dft)' '#spaces (dft)'
 'Comments (Visual X)' 'Comments (Visual Y)' 'Identifiers (Visual Y)'
 'Keywords (Visual Y)' 'Numbers (Visual X)' 'Numbers (Visual Y)'
 'Strings (Visual X)' 'Strings (Visual Y)' 'Literals (Visual X)'
 'Literals (Visual Y)' 'Operators (Visual Y)' 'Strings/keywords (area)'
 'Extent of aligned blocks' '#statements' 'warnings_typestate_checker'
 'warnings_openjml' 'warning_sum']",BD50
"['NMI (max)' 'CICsyn (avg)' 'CICsyn (max)' 'NM (max)'
 'Identifiers length (max)' 'Indentation length (max)'
 '#identifiers (max)' 'LOC' '#assignments (dft)' '#commas (dft)'
 '#comments (dft)' '#comparisons (dft)' '#conditionals (dft)'
 'Indentation length (dft)' '#keywords (dft)' 'Line length (dft)'
 '#loops (dft)' '#identifiers (dft)' '#numbers (dft)' '#operators (dft)'
 '#parenthesis (dft)' '#periods (dft)' '#spaces (dft)'
 'Comments (Visual X)' 'Comments (Visual Y)' 'Keywords (Visual Y)'
 'Numbers (Visual Y)' 'Strings (Visual X)' 'Strings (Visual Y)'
 'Literals (Visual X)' 'Literals (Visual Y)' 'Strings/keywords (area)'
 '#aligned blocks' 'Extent of aligned blocks' '#statements'
 'warnings_typestate_checker' 'warning_sum']",ABU50
